H,mu,mstar,g_margin_pct_deq,Dmax_pct_deq,class
0.175,0.581429989392269,0.85,-3.3918765239345334,8.391876523934533,FALLO
0.175,0.6189000543304588,0.85,-1.2096500314080547,6.209650031408055,FALLO
0.175,0.6473695404342034,0.85,0.8219210540438703,4.17807894595613,ESTABLE
0.175,0.6831420261860194,0.85,3.0527341049917562,1.9472658950082438,ESTABLE
0.2,0.7225887706973967,0.85,-2.463828316986172,7.463828316986172,FALLO
0.2,0.7438371578275113,0.85,-0.8144811030195038,5.814481103019504,FALLO
0.2,0.7726443342232054,0.85,0.5140752652010254,4.485924734798974,ESTABLE
0.2,0.8128453813153386,0.85,2.635449896229917,2.364550103770083,ESTABLE
0.21,0.7565783827126289,0.85,-2.4607787683885274,7.460778768388527,FALLO
0.21,0.7689453072738779,0.85,-2.049898449783207,7.049898449783207,FALLO
0.21,0.8128968602986266,0.85,1.0742851885729179,3.925714811427082,ESTABLE
0.21,0.851377838943252,0.85,3.751814044003162,1.248185955996838,ESTABLE
0.225,0.7987750464802056,0.85,-3.354232814590661,8.354232814590661,FALLO
0.225,0.8383961466113503,0.85,-1.4767008605048573,6.476700860504858,FALLO
0.225,0.8783482802359663,0.85,2.889458504107103,2.110541495892897,ESTABLE
0.225,0.890193886632915,0.85,3.9974589371488403,1.0025410628511597,ESTABLE
0.175,0.55,1.0,-1.3008872366238076,6.300887236623808,FALLO
0.175,0.5579794194784048,1.0,1.2556375912815385,3.7443624087184615,ESTABLE
0.175,0.5810063218050016,1.0,1.2100526417483688,3.789947358251631,ESTABLE
0.175,0.6206919149742625,1.0,3.522643508016661,1.4773564919833388,ESTABLE
0.2,0.6409955135384104,1.0,-2.755023687625075,7.755023687625075,FALLO
0.2,0.6667215910876337,1.0,-1.641678455943279,6.641678455943279,FALLO
0.2,0.706252454858745,1.0,0.8437638391735418,4.156236160826458,ESTABLE
0.2,0.7441761107017876,1.0,3.3485909076579423,1.6514090923420577,ESTABLE
0.21,0.6800606968790975,1.0,-2.3106619173216925,7.310661917321692,FALLO
0.21,0.7250025738089418,1.0,-0.09647071048976771,5.0964707104897675,FALLO
0.21,0.7571284366608095,1.0,1.237744216806318,3.762255783193682,ESTABLE
0.21,0.7854274543130532,1.0,3.907803751383704,1.092196248616296,ESTABLE
0.225,0.7398334837198216,1.0,-2.581697003325881,7.581697003325881,FALLO
0.225,0.7547735206026864,1.0,-1.0972544515884048,6.097254451588405,FALLO
0.225,0.8031276505540731,1.0,1.4381344209675486,3.5618655790324514,ESTABLE
0.225,0.845691175076116,1.0,3.726286964219346,1.2737130357806539,ESTABLE
0.175,0.55,1.15,2.700024686254494,2.299975313745506,ESTABLE
0.175,0.55,1.15,2.871777365792215,2.128222634207785,ESTABLE
0.175,0.55,1.15,2.0230789451069002,2.9769210548930998,ESTABLE
0.175,0.55,1.15,2.8195758439823035,2.1804241560176965,ESTABLE
0.2,0.579864167359523,1.15,-2.413574513145956,7.4135745131459565,FALLO
0.2,0.6018302124347382,1.15,-2.350770482780205,7.350770482780205,FALLO
0.2,0.6269214687262535,1.15,0.42094527375304996,4.57905472624695,ESTABLE
0.2,0.6749002252978735,1.15,2.22405318760603,2.77594681239397,ESTABLE
0.21,0.6252184727139979,1.15,-1.9897005741888938,6.989700574188894,FALLO
0.21,0.6383666418159143,1.15,-1.0642624482855476,6.064262448285548,FALLO
0.21,0.6767661315641347,1.15,2.2174810825217923,2.7825189174782077,ESTABLE
0.21,0.72689788260306,1.15,2.8211495202681522,2.1788504797318478,ESTABLE
0.225,0.6711898912779097,1.15,-2.373977961686073,7.373977961686073,FALLO
0.225,0.6873817186571808,1.15,-0.3061435829690793,5.30614358296908,FALLO
0.225,0.737535922447598,1.15,0.7898085893744878,4.210191410625512,ESTABLE
0.225,0.7676067861982174,1.15,2.6254764207936527,2.3745235792063473,ESTABLE
0.175,0.55,1.25,5.75518781975316,-0.7551878197531599,ESTABLE
0.175,0.55,1.25,4.669040553820336,0.3309594461796639,ESTABLE
0.175,0.55,1.25,5.407802876719882,-0.4078028767198818,ESTABLE
0.175,0.55,1.25,4.941018277880136,0.05898172211986363,ESTABLE
0.2,0.55,1.25,-1.8490268672105907,6.849026867210591,FALLO
0.2,0.5665538564147651,1.25,-0.10001831962978686,5.100018319629787,FALLO
0.2,0.6006172421557765,1.25,2.233720966720915,2.766279033279085,ESTABLE
0.2,0.6355455218125756,1.25,3.2162922454825478,1.7837077545174522,ESTABLE
0.21,0.5782862792238396,1.25,-2.0050147338855195,7.0050147338855195,FALLO
0.21,0.6073049086329582,1.25,-0.9024766464034237,5.902476646403423,FALLO
0.21,0.6343605024538326,1.25,1.1467783110809167,3.853221688919083,ESTABLE
0.21,0.6738557035977513,1.25,2.599390129845583,2.400609870154417,ESTABLE
0.225,0.6171427191729218,1.25,-3.221522607393461,8.22152260739346,FALLO
0.225,0.6494550304410247,1.25,-0.31234161183522113,5.312341611835221,FALLO
0.225,0.680391429042775,1.25,1.1055402823680494,3.8944597176319506,ESTABLE
0.225,0.7180462876864128,1.25,1.7745655219087177,3.225434478091282,ESTABLE
